nohup: ignoring input
2026-04-21 22:15:20,487 - INFO - Reading parquet: data/csqa_1k.parquet
2026-04-21 22:15:20,556 - INFO - Total questions: 1000
2026-04-21 22:15:20,556 - INFO - Loading model: /home2/zzl/model/Qwen3-8B...
2026-04-21 22:15:21,444 - INFO - We will use 90% of the memory on device 0 for storing the model, and 10% for the buffer to avoid OOM. You can set `max_memory` in to a higher value to use more memory (at your own risk).
Loading checkpoint shards:   0%|          | 0/5 [00:00<?, ?it/s]Loading checkpoint shards:  20%|██        | 1/5 [00:01<00:06,  1.56s/it]Loading checkpoint shards:  40%|████      | 2/5 [00:03<00:04,  1.52s/it]Loading checkpoint shards:  60%|██████    | 3/5 [00:04<00:02,  1.49s/it]Loading checkpoint shards:  80%|████████  | 4/5 [00:05<00:01,  1.38s/it]Loading checkpoint shards: 100%|██████████| 5/5 [00:06<00:00,  1.04s/it]Loading checkpoint shards: 100%|██████████| 5/5 [00:06<00:00,  1.23s/it]
Device set to use cuda:0
2026-04-21 22:15:27,662 - INFO - Starting fresh generation...
2026-04-21 22:22:44,056 - INFO - Progress: 1/1000 | Q: Bill sits down on a whoopee cushion, what sound do... | GT: B
2026-04-21 23:32:24,234 - INFO - Progress: 12/1000 | Q: Becoming inebriated leads to what state?... | GT: B
2026-04-21 23:40:37,338 - INFO - Progress: 13/1000 | Q: Luke was a human. Like most humans, he learned fro... | GT: B
2026-04-21 23:48:47,559 - INFO - Progress: 14/1000 | Q: Sarah loved riding horse but she was having pain i... | GT: E
2026-04-21 23:56:51,138 - INFO - Progress: 15/1000 | Q: She could wait for her new terrace to be covered i... | GT: A
2026-04-22 00:04:39,029 - INFO - Progress: 16/1000 | Q: From state to state gardeners appreciate the bee, ... | GT: A
2026-04-22 00:08:56,617 - INFO - Progress: 17/1000 | Q: Many prison movies take place at what famous priso... | GT: E
2026-04-22 00:12:45,433 - INFO - Progress: 18/1000 | Q: The lizard lived at the base of the ancient longes... | GT: D
2026-04-22 00:21:01,429 - INFO - Progress: 19/1000 | Q: Where might someone go to watch a flute?... | GT: B
2026-04-22 00:26:40,373 - INFO - 💾 Checkpoint saved at idx 20
2026-04-22 00:26:40,374 - INFO - Progress: 20/1000 | Q: Family is always the best for devotion, but it is ... | GT: D
2026-04-22 00:34:52,406 - INFO - Progress: 21/1000 | Q: Where would you put a marker if you plan to use it... | GT: B
2026-04-22 00:39:09,388 - INFO - Progress: 22/1000 | Q: He kept a container can for draining oil in what l... | GT: C
2026-04-22 00:47:25,338 - INFO - Progress: 23/1000 | Q: What do humans have that cerberus does not have?... | GT: A
2026-04-22 00:55:05,813 - INFO - Progress: 24/1000 | Q: Danny was studying statistics in class, and he som... | GT: A
2026-04-22 01:00:04,366 - INFO - Progress: 25/1000 | Q: The video game featured an anger bar that you char... | GT: B
2026-04-22 01:07:22,160 - INFO - Progress: 26/1000 | Q: Where would you use a changing room before gym?... | GT: E
2026-04-22 01:13:07,200 - INFO - Progress: 27/1000 | Q: The bird took flight by moving its what?... | GT: E
2026-04-22 01:22:56,422 - INFO - Progress: 28/1000 | Q: A human wants to go shopping in a dense urban area... | GT: D
2026-04-22 01:29:00,441 - INFO - Progress: 29/1000 | Q: It could have been a beautiful day, but what did t... | GT: C
2026-04-22 01:39:49,581 - INFO - Progress: 30/1000 | Q: Where will any tearoom be?... | GT: A
2026-04-22 01:46:55,624 - INFO - Progress: 31/1000 | Q: If you are deep in a cave, what would you follow t... | GT: B
2026-04-22 01:50:59,970 - INFO - Progress: 32/1000 | Q: When playing baseball they keep track of mistakes,... | GT: E
2026-04-22 01:55:03,597 - INFO - Progress: 33/1000 | Q: When people want to watch a new move, the often go... | GT: D
2026-04-22 02:05:39,590 - INFO - Progress: 34/1000 | Q: What is the goal of a poor person having food?... | GT: C
2026-04-22 02:16:27,526 - INFO - Progress: 35/1000 | Q: When james was climbing he experiences a couple of... | GT: E
2026-04-22 02:24:11,861 - INFO - Progress: 36/1000 | Q: What do cats like to hug when they are peeking at ... | GT: B
2026-04-22 02:30:13,946 - INFO - Progress: 37/1000 | Q: John spent too much money buying products for his ... | GT: D
2026-04-22 02:38:24,424 - INFO - Progress: 38/1000 | Q: The small dog always picked up the newspaper from ... | GT: D
2026-04-22 02:46:30,279 - INFO - Progress: 39/1000 | Q: The bachelor was too lazy to take the groceries ou... | GT: E
2026-04-22 02:54:42,141 - INFO - 💾 Checkpoint saved at idx 40
2026-04-22 02:54:42,141 - INFO - Progress: 40/1000 | Q: Behind what small door are canned goods usually ke... | GT: D
2026-04-22 03:02:52,252 - INFO - Progress: 41/1000 | Q: Mary wasn't familiar with James, so she wasn't com... | GT: A
2026-04-22 03:08:00,564 - INFO - Progress: 42/1000 | Q: American humans just graduated high school, where ... | GT: A
2026-04-22 03:16:13,802 - INFO - Progress: 43/1000 | Q: James was a weasel.  He lived in a warm place wher... | GT: E
2026-04-22 03:22:30,588 - INFO - Progress: 44/1000 | Q: Where is known to always have snow?... | GT: B
2026-04-22 03:30:21,838 - INFO - Progress: 45/1000 | Q: What will happen to you if you are staying healthy... | GT: C
2026-04-22 03:37:48,670 - INFO - Progress: 46/1000 | Q: Where do students use a pen?... | GT: E
2026-04-22 03:42:41,458 - INFO - Progress: 47/1000 | Q: Where do investment bankers hang out in the suburb... | GT: E
2026-04-22 03:46:18,670 - INFO - Progress: 48/1000 | Q: What would a person do if he or she just woke up?... | GT: A
2026-04-22 03:52:31,581 - INFO - Progress: 49/1000 | Q: The person was exposed as a liar, so what happened... | GT: E
2026-04-22 04:03:18,242 - INFO - Progress: 50/1000 | Q: When you go to buy a sheep you will learn that it ... | GT: A
2026-04-22 04:10:08,455 - INFO - Progress: 51/1000 | Q: What would you put on your foot first before anyth... | GT: E
2026-04-22 04:20:00,876 - INFO - Progress: 52/1000 | Q: What is a good result of losing weight?... | GT: B
2026-04-22 04:27:48,575 - INFO - Progress: 53/1000 | Q: where do people go to view famous pictures?... | GT: B
2026-04-22 04:32:24,789 - INFO - Progress: 54/1000 | Q: What type of plant is the tallest found on earth?... | GT: A
2026-04-22 04:43:14,031 - INFO - Progress: 55/1000 | Q: The company was very cheap.  The didn't do what?... | GT: E
2026-04-22 04:50:46,146 - INFO - Progress: 56/1000 | Q: The moon was seen surrounded by stars, when was it... | GT: E
2026-04-22 05:01:35,062 - INFO - Progress: 57/1000 | Q: Where should you find a school in?... | GT: C
2026-04-22 05:12:22,961 - INFO - Progress: 58/1000 | Q: What can happen when kissing outside?... | GT: E
2026-04-22 05:23:11,647 - INFO - Progress: 59/1000 | Q: When picking an object for a baby something soft i... | GT: C
2026-04-22 05:33:59,952 - INFO - 💾 Checkpoint saved at idx 60
2026-04-22 05:33:59,953 - INFO - Progress: 60/1000 | Q: When their litter box is full where might a cat go... | GT: A
2026-04-22 05:44:19,820 - INFO - Progress: 61/1000 | Q: Where is a place a beaver wouldn't feel free?... | GT: E
2026-04-22 05:49:23,074 - INFO - Progress: 62/1000 | Q: If you're going out often and talking to a lot of ... | GT: B
2026-04-22 05:55:11,468 - INFO - Progress: 63/1000 | Q: How does someone begin eating?... | GT: C
2026-04-22 05:59:35,541 - INFO - Progress: 64/1000 | Q: Sam went to Paris where he ordered a blowfish at a... | GT: B
2026-04-22 06:07:45,742 - INFO - Progress: 65/1000 | Q: The crab was scuttling but strained when he moved,... | GT: B
2026-04-22 06:15:39,449 - INFO - Progress: 66/1000 | Q: This can set in after going to work with to little... | GT: D
2026-04-22 06:23:15,728 - INFO - Progress: 67/1000 | Q: The bee had to be shipped down south to avoid the ... | GT: A
2026-04-22 06:28:48,598 - INFO - Progress: 68/1000 | Q: Sarah wants to eat lunch.  To do this she'll have ... | GT: C
2026-04-22 06:36:58,309 - INFO - Progress: 69/1000 | Q: Birds are animals that do a lot of what?... | GT: E
2026-04-22 06:40:29,687 - INFO - Progress: 70/1000 | Q: Sitting to close while watching TV can cause what ... | GT: D
2026-04-22 06:44:24,517 - INFO - Progress: 71/1000 | Q: When getting in shape you need to have this in bet... | GT: C
2026-04-22 06:48:45,590 - INFO - Progress: 72/1000 | Q: what happens to a company when it is bankrupt?... | GT: A
2026-04-22 06:56:02,290 - INFO - Progress: 73/1000 | Q: What can a horse winning many races hope to achiev... | GT: B
2026-04-22 07:03:43,820 - INFO - Progress: 74/1000 | Q: If I am reading a letter and want to find an illog... | GT: B
2026-04-22 07:09:45,405 - INFO - Progress: 75/1000 | Q: Where do you bring a small dog if it needs to reli... | GT: E
2026-04-22 07:17:59,978 - INFO - Progress: 76/1000 | Q: The best place for the troublemaker to sneak a smo... | GT: B
2026-04-22 07:24:38,149 - INFO - Progress: 77/1000 | Q: In a volatile social climate people will tend to w... | GT: A
2026-04-22 07:32:14,898 - INFO - Progress: 78/1000 | Q: In the movie a fragile man is causing accidents, h... | GT: B
2026-04-22 07:40:09,912 - INFO - Progress: 79/1000 | Q: Where do you hide a dead body?... | GT: D
2026-04-22 07:45:58,830 - INFO - 💾 Checkpoint saved at idx 80
2026-04-22 07:45:58,831 - INFO - Progress: 80/1000 | Q: What will friends in elementary school likely do?... | GT: D
2026-04-22 07:52:56,586 - INFO - Progress: 81/1000 | Q: The band was performing live, but if you looked cl... | GT: C
2026-04-22 08:01:05,500 - INFO - Progress: 82/1000 | Q: Sahmbi was  lying about the fugitive's location.  ... | GT: E
2026-04-22 08:09:16,425 - INFO - Progress: 83/1000 | Q: The great general had suffered his first defeat, i... | GT: E
2026-04-22 08:17:08,516 - INFO - Progress: 84/1000 | Q: If someone has a head they will also have the abil... | GT: E
2026-04-22 08:24:54,711 - INFO - Progress: 85/1000 | Q: They began moving car with their bare hands to sav... | GT: A
2026-04-22 08:32:57,263 - INFO - Progress: 86/1000 | Q: What do you do to someone easily when you love the... | GT: E
2026-04-22 08:42:51,091 - INFO - Progress: 87/1000 | Q: John and James wanted to eat hot dogs but weren't ... | GT: D
2026-04-22 08:48:59,419 - INFO - Progress: 88/1000 | Q: What would people do if they want to have fun?... | GT: D
2026-04-22 08:55:18,652 - INFO - Progress: 89/1000 | Q: Josh loved to learn.  Because of that, his mother ... | GT: A
2026-04-22 09:03:51,666 - INFO - Progress: 90/1000 | Q: What is it healthy to eat the skin of?... | GT: B
2026-04-22 09:11:07,633 - INFO - Progress: 91/1000 | Q: A lot of people who wrestle are very?... | GT: D
2026-04-22 09:20:29,100 - INFO - Progress: 92/1000 | Q: The bat was abducted and absconded to top secret g... | GT: B
2026-04-22 09:31:17,655 - INFO - Progress: 93/1000 | Q: James  didn't like getting in line when he was tol... | GT: A
2026-04-22 09:37:59,998 - INFO - Progress: 94/1000 | Q: WHen people are fighting inflation what should the... | GT: B
2026-04-22 09:44:44,627 - INFO - Progress: 95/1000 | Q: How can you carry a pencil in your shirt?... | GT: D
2026-04-22 09:54:40,240 - INFO - Progress: 96/1000 | Q: Where are rosebushes typically found outside of la... | GT: A
2026-04-22 10:02:53,134 - INFO - Progress: 97/1000 | Q: James took his duffle bag with him when he walked ... | GT: E
2026-04-22 10:07:37,780 - INFO - Progress: 98/1000 | Q: Where do you visit a dentist?... | GT: D
2026-04-22 10:14:50,546 - INFO - Progress: 99/1000 | Q: The servant was asked where to put the flowers, wh... | GT: D
2026-04-22 10:22:03,325 - INFO - 💾 Checkpoint saved at idx 100
2026-04-22 10:22:03,325 - INFO - Progress: 100/1000 | Q: Where could you find a laundry room that is only u... | GT: D
2026-04-22 10:26:26,382 - INFO - Progress: 101/1000 | Q: The teacher told all the students that listening w... | GT: C
2026-04-22 10:34:36,586 - INFO - Progress: 102/1000 | Q: What might a gentleman own and go inside of?... | GT: B
2026-04-22 10:42:43,951 - INFO - Progress: 103/1000 | Q: What do cats have in common with most mammals?... | GT: A
2026-04-22 10:46:50,688 - INFO - Progress: 104/1000 | Q: Expressing yourself by using complicated words and... | GT: D
2026-04-22 10:50:57,823 - INFO - Progress: 105/1000 | Q: How is a soldier likely to travel?... | GT: B
2026-04-22 10:58:06,937 - INFO - Progress: 106/1000 | Q: He was thanking everybody for coming, he gave them... | GT: E
2026-04-22 11:06:02,739 - INFO - Progress: 107/1000 | Q: Bob asked James to be an alibi witness for him but... | GT: D
2026-04-22 11:11:15,224 - INFO - Progress: 108/1000 | Q: The wacky performer needed a new accordion, so he ... | GT: D
2026-04-22 11:18:31,943 - INFO - Progress: 109/1000 | Q: Where would you put your garden?... | GT: C
2026-04-22 11:25:57,661 - INFO - Progress: 110/1000 | Q: Everybody raised a drink and cheered, they were do... | GT: E
2026-04-22 11:34:13,791 - INFO - Progress: 111/1000 | Q: The teen really enjoyed listening to music, it was... | GT: C
2026-04-22 11:39:11,946 - INFO - Progress: 112/1000 | Q: If I am playing a xylophone with a large, professi... | GT: D
2026-04-22 11:44:03,122 - INFO - Progress: 113/1000 | Q: What does a person sometimes do after they finish ... | GT: A
2026-04-22 11:52:16,498 - INFO - Progress: 114/1000 | Q: What may you feel after standing in line for a lon... | GT: A
2026-04-22 11:57:05,311 - INFO - Progress: 115/1000 | Q: The organization was giving assistance to families... | GT: D
2026-04-22 12:04:44,540 - INFO - Progress: 116/1000 | Q: The interior designer didn't like the office just ... | GT: C
2026-04-22 12:08:55,132 - INFO - Progress: 117/1000 | Q: Stopping being married to each other seemed to be ... | GT: C
2026-04-22 12:17:00,473 - INFO - Progress: 118/1000 | Q: Bob and Boris were standing in a queue at the groc... | GT: B
2026-04-22 12:25:12,453 - INFO - Progress: 119/1000 | Q: What could there be near an excavation site?... | GT: A
2026-04-22 12:28:58,807 - INFO - 💾 Checkpoint saved at idx 120
2026-04-22 12:28:58,807 - INFO - Progress: 120/1000 | Q: Why are cooks hired?... | GT: B
2026-04-22 12:34:59,974 - INFO - Progress: 121/1000 | Q: A school is most likely to be located in what sort... | GT: A
2026-04-22 12:42:59,335 - INFO - Progress: 122/1000 | Q: Something that people do when they are sneezing a ... | GT: B
2026-04-22 12:50:56,130 - INFO - Progress: 123/1000 | Q: John wants to buy a writing instrument and papercl... | GT: B
2026-04-22 12:58:45,469 - INFO - Progress: 124/1000 | Q: The children were going to play, the parents encou... | GT: E
2026-04-22 13:03:06,984 - INFO - Progress: 125/1000 | Q: The shark was feeling cold, what did it decide to ... | GT: B
2026-04-22 13:11:20,859 - INFO - Progress: 126/1000 | Q: A person who fears A.I. has a main fear that man w... | GT: D
2026-04-22 13:15:58,581 - INFO - Progress: 127/1000 | Q: He was back in his hometown, he was planning on ha... | GT: E
2026-04-22 13:22:59,337 - INFO - Progress: 128/1000 | Q: What happened when economic forces don't match a c... | GT: E
2026-04-22 13:27:16,550 - INFO - Progress: 129/1000 | Q: Computers with audio cards can do what?... | GT: B
2026-04-22 13:34:28,393 - INFO - Progress: 130/1000 | Q: What type of apples do people prefer?... | GT: B
2026-04-22 13:41:21,351 - INFO - Progress: 131/1000 | Q: There was a bacteria scare, so bleach was added to... | GT: A
2026-04-22 13:47:58,588 - INFO - Progress: 132/1000 | Q: The bird flew around and around, finally it landed... | GT: D
2026-04-22 13:55:07,735 - INFO - Progress: 133/1000 | Q: what happens when visiting museum that have narrow... | GT: E
2026-04-22 14:00:22,694 - INFO - Progress: 134/1000 | Q: Where is building likely to be rapid?... | GT: A
2026-04-22 14:07:24,964 - INFO - Progress: 135/1000 | Q: Where can I go to see a really big toy balloon flo... | GT: B
2026-04-22 14:12:02,530 - INFO - Progress: 136/1000 | Q: If you stretch out your socks they will then have ... | GT: B
2026-04-22 14:20:09,946 - INFO - Progress: 137/1000 | Q: What business is likely to have few cubicles?... | GT: A
2026-04-22 14:28:15,203 - INFO - Progress: 138/1000 | Q: What high rise is often made of windows?... | GT: C
2026-04-22 14:36:31,648 - INFO - Progress: 139/1000 | Q: What do tv studios use milk to mimic?... | GT: B
2026-04-22 14:44:19,216 - INFO - 💾 Checkpoint saved at idx 140
2026-04-22 14:44:19,216 - INFO - Progress: 140/1000 | Q: In a conversation what is the first thing you must... | GT: B
2026-04-22 14:51:08,396 - INFO - Progress: 141/1000 | Q: Where would you put your change if you will not ne... | GT: C
2026-04-22 14:59:21,942 - INFO - Progress: 142/1000 | Q: If you learn something about a person that you're ... | GT: D
2026-04-22 15:04:06,583 - INFO - Progress: 143/1000 | Q: People like to watch movies to escape for a couple... | GT: A
2026-04-22 15:11:01,346 - INFO - Progress: 144/1000 | Q: The man was from north carolina, but he just refer... | GT: A
2026-04-22 15:19:33,505 - INFO - Progress: 145/1000 | Q: John went to see the massive ball of yarn that was... | GT: D
2026-04-22 15:26:30,266 - INFO - Progress: 146/1000 | Q: Billy lived alone by a lake.  He was told he had t... | GT: B
2026-04-22 15:34:49,549 - INFO - Progress: 147/1000 | Q: Where would a beauty parlor be?... | GT: C
2026-04-22 15:39:35,113 - INFO - Progress: 148/1000 | Q: As the counterweight began to rise the elevator be... | GT: C
2026-04-22 15:46:26,502 - INFO - Progress: 149/1000 | Q: The row houses featured nearby red phone booths, w... | GT: A
2026-04-22 15:54:50,968 - INFO - Progress: 150/1000 | Q: Where would you put your change if you plan to use... | GT: C
2026-04-22 16:03:12,427 - INFO - Progress: 151/1000 | Q: Where is not likely to have a very formal dining a... | GT: C
2026-04-22 16:11:38,787 - INFO - Progress: 152/1000 | Q: Where would find a townhouse that is not attached ... | GT: C
2026-04-22 16:20:07,856 - INFO - Progress: 153/1000 | Q: Where would you see a picture created by a profess... | GT: E
2026-04-22 16:25:59,719 - INFO - Progress: 154/1000 | Q: The tree wanted to grow more, but in the garden wh... | GT: B
2026-04-22 16:34:02,603 - INFO - Progress: 155/1000 | Q: A father was trying to teach his daughter to throw... | GT: E
2026-04-22 16:40:51,456 - INFO - Progress: 156/1000 | Q: What is a computer user using Zillow have as a goa... | GT: D
2026-04-22 16:49:23,379 - INFO - Progress: 157/1000 | Q: While still on a trip there's pretty much only one... | GT: A
2026-04-22 16:54:07,056 - INFO - Progress: 158/1000 | Q: Playing tennis requires at least one opponent, a b... | GT: D
2026-04-22 17:01:43,341 - INFO - Progress: 159/1000 | Q: She caught the first snowflake of her life on her ... | GT: E
2026-04-22 17:09:06,896 - INFO - 💾 Checkpoint saved at idx 160
2026-04-22 17:09:06,897 - INFO - Progress: 160/1000 | Q: Jenny was stuck at home most of the time without a... | GT: A
2026-04-22 17:17:28,129 - INFO - Progress: 161/1000 | Q: You can find a protected forest in just about any ... | GT: B
2026-04-22 17:25:08,970 - INFO - Progress: 162/1000 | Q: If one is eating healthier and exercising what is ... | GT: E
2026-04-22 17:33:33,318 - INFO - Progress: 163/1000 | Q: Where is there likely to b more than one desk draw... | GT: D
2026-04-22 17:41:41,827 - INFO - Progress: 164/1000 | Q: If you're getting drunk while in public you are li... | GT: E
2026-04-22 17:48:55,167 - INFO - Progress: 165/1000 | Q: The teacher walked up and down the rows of seats c... | GT: C
2026-04-22 17:57:23,777 - INFO - Progress: 166/1000 | Q: If someone is committing perjury and it leads to c... | GT: D
2026-04-22 18:03:15,747 - INFO - Progress: 167/1000 | Q: His mother took his schooling very seriously and w... | GT: E
2026-04-22 18:06:39,757 - INFO - Progress: 168/1000 | Q: The cat pawed demurely at the couch and walked in ... | GT: A
2026-04-22 18:12:20,973 - INFO - Progress: 169/1000 | Q: If someone doesn't enjoy playing baseball what mig... | GT: E
2026-04-22 18:20:46,383 - INFO - Progress: 170/1000 | Q: Where could there by tens of thousands of people p... | GT: A
2026-04-22 18:29:11,254 - INFO - Progress: 171/1000 | Q: He didn't want his son to be soft, so he was alway... | GT: A
2026-04-22 18:36:53,785 - INFO - Progress: 172/1000 | Q: What could you use a net as?... | GT: C
2026-04-22 18:43:37,087 - INFO - Progress: 173/1000 | Q: How do you indicate that you agree wtih someone?... | GT: B
2026-04-22 18:50:26,018 - INFO - Progress: 174/1000 | Q: The freeway had signs in miles instead of kilomete... | GT: B
2026-04-22 18:55:38,475 - INFO - Progress: 175/1000 | Q: Climbing a hill when hiking can really give one an... | GT: D
2026-04-22 19:02:00,738 - INFO - Progress: 176/1000 | Q: What can a vehicle do to groceries?... | GT: D
2026-04-22 19:07:13,899 - INFO - Progress: 177/1000 | Q: What type of environment does a lemur call home?... | GT: E
2026-04-22 19:15:21,557 - INFO - Progress: 178/1000 | Q: What is the worst part of playing games?... | GT: D
2026-04-22 19:23:49,406 - INFO - Progress: 179/1000 | Q: The crab was feeling cold in the water, where was ... | GT: E
2026-04-22 19:32:19,275 - INFO - 💾 Checkpoint saved at idx 180
2026-04-22 19:32:19,275 - INFO - Progress: 180/1000 | Q: Where can you visit hundreds of dentist?... | GT: A
2026-04-22 19:37:01,627 - INFO - Progress: 181/1000 | Q: Where can someone go and buy cheese?... | GT: D
2026-04-22 19:43:18,648 - INFO - Progress: 182/1000 | Q: Where could you find insects eating something gree... | GT: E
2026-04-22 19:51:39,358 - INFO - Progress: 183/1000 | Q: It was tradition for the team to enter what throug... | GT: B
2026-04-22 19:56:41,549 - INFO - Progress: 184/1000 | Q: Unlike Mars and all its dust, what is full of all ... | GT: A
2026-04-22 20:03:17,851 - INFO - Progress: 185/1000 | Q: Joe was a horse.  He lived in an American State. T... | GT: E
2026-04-22 20:10:20,924 - INFO - Progress: 186/1000 | Q: How did the sleeping child know they were still in... | GT: A
2026-04-22 20:15:59,672 - INFO - Progress: 187/1000 | Q: A product that has been out of stock but is now re... | GT: E
2026-04-22 20:24:08,689 - INFO - Progress: 188/1000 | Q: A retired person may have to return to work if the... | GT: D
2026-04-22 20:32:08,086 - INFO - Progress: 189/1000 | Q: I have some food that I want to eat right now, whe... | GT: E
2026-04-22 20:39:07,146 - INFO - Progress: 190/1000 | Q: When you spend time contemplating ideas what will ... | GT: B
2026-04-22 20:45:11,608 - INFO - Progress: 191/1000 | Q: Part of child development is when he/she stops imi... | GT: B
2026-04-22 20:53:19,003 - INFO - Progress: 192/1000 | Q: The leading team was upset, they had stopped activ... | GT: C
2026-04-22 21:03:20,263 - INFO - Progress: 193/1000 | Q: Sam turned on the projector and showed his powerpo... | GT: E
2026-04-22 21:14:11,885 - INFO - Progress: 194/1000 | Q: Lilly was getting warm and John's hands ran down h... | GT: E
2026-04-22 21:25:24,122 - INFO - Progress: 195/1000 | Q: Other than women's leggings what is commonly made ... | GT: D
2026-04-22 21:32:38,905 - INFO - Progress: 196/1000 | Q: There's few places where a skyscraper just blends ... | GT: B
2026-04-22 21:43:43,189 - INFO - Progress: 197/1000 | Q: Bill told the audience that good things would happ... | GT: D
2026-04-22 21:52:21,237 - INFO - Progress: 198/1000 | Q: He was finding information through meditation and ... | GT: A
2026-04-22 22:00:29,179 - INFO - Progress: 199/1000 | Q: where do you typically find a trash can in the cit... | GT: C
2026-04-22 22:05:16,581 - INFO - 💾 Checkpoint saved at idx 200
2026-04-22 22:05:16,581 - INFO - Progress: 200/1000 | Q: A flask is a container can, it is made to hold wha... | GT: E
2026-04-22 22:11:01,429 - INFO - Progress: 201/1000 | Q: The telephone is a way to connect what people?... | GT: C
2026-04-22 22:19:14,839 - INFO - Progress: 202/1000 | Q: Where would you go to get a tuning fork you forgot... | GT: E
2026-04-22 22:27:38,624 - INFO - Progress: 203/1000 | Q: The athlete needed cooling off, but after ten seco... | GT: B
2026-04-22 22:32:44,146 - INFO - Progress: 204/1000 | Q: Why might someone avoid getting a new car?... | GT: C
2026-04-22 22:40:39,636 - INFO - Progress: 205/1000 | Q: What type of structure has doorways that are conne... | GT: A
2026-04-22 22:45:45,272 - INFO - Progress: 206/1000 | Q: A child is in a meadow in spring, what might the c... | GT: E
2026-04-22 22:52:27,120 - INFO - Progress: 207/1000 | Q: What is a great way for teens to build character a... | GT: B
2026-04-22 23:00:51,727 - INFO - Progress: 208/1000 | Q: Where would you be unable to read a newspaper?... | GT: C
2026-04-22 23:07:04,709 - INFO - Progress: 209/1000 | Q: The roses flowered in June.  Sarah loved smelling ... | GT: A
2026-04-22 23:11:44,750 - INFO - Progress: 210/1000 | Q: Where do airplanes usually go?... | GT: E
2026-04-22 23:17:33,003 - INFO - Progress: 211/1000 | Q: The ball was in Lucy's court, which was good, sinc... | GT: E
2026-04-22 23:23:48,439 - INFO - Progress: 212/1000 | Q: In the video game he used the rocket launcher at l... | GT: C
2026-04-22 23:30:02,313 - INFO - Progress: 213/1000 | Q: What happens when applying a heat source to combus... | GT: C
2026-04-22 23:38:22,564 - INFO - Progress: 214/1000 | Q: The person deposited a check, what was she looking... | GT: C
2026-04-22 23:46:56,960 - INFO - Progress: 215/1000 | Q: Why would someone be committing suicide?... | GT: B
2026-04-22 23:55:45,695 - INFO - Progress: 216/1000 | Q: The conductor ordered the gong to sound, who was t... | GT: A
2026-04-23 00:01:32,238 - INFO - Progress: 217/1000 | Q: After attending school for twelve years what do yo... | GT: D
2026-04-23 00:11:26,390 - INFO - Progress: 218/1000 | Q: The mom liked giving assistance to her children, w... | GT: B
2026-04-23 00:17:29,325 - INFO - Progress: 219/1000 | Q: In what state could the steakhouses offer fresh-ca... | GT: D
2026-04-23 00:21:05,793 - INFO - 💾 Checkpoint saved at idx 220
2026-04-23 00:21:05,794 - INFO - Progress: 220/1000 | Q: James picked glass walls because they let more lig... | GT: D
2026-04-23 00:25:11,903 - INFO - Progress: 221/1000 | Q: Whether it's popped, grilled, or canned people lik... | GT: E
